419,1
56,73
0,43
246,35
229,79
253,9
41,74
324,95
429,44
170,18
45,18
357,55
6,86
147,88
127,68
253,19
164,26
33,62
463,76
112,82
92,34
229,0
298,19
142,53
121,42
81,22
144,4
360,41
338,10
353,60
193,12
220,80
397,55
266,57
239,64
424,1
293,75
42,54
79,83
262,2
164,51
442,54
319,26
29,71
361,28
230,25
352,82
158,1
499,45
412,27
377,86
271,30
148,65
197,68
57,60
468,29
342,23
129,15
473,98
48,48
237,79
315,85
403,34
212,7
370,79
498,36
44,56
260,71
17,28
256,78
287,0
351,10
235,48
346,89
350,87
63,3
384,24
70,38
44,40
406,85
222,86
152,11
229,28
314,2
20,37
409,75
306,81
225,97
395,49
362,43
455,4
261,2
80,81
245,96
136,8
24,31
39,56
414,65
391,88
252,2
137,3
387,76
165,65
108,51
102,43
316,18
244,50
377,44
15,69
52,84
381,50
345,25
345,64
33,86
131,46
291,83
312,23
215,0
354,57
189,66

